0.040884838;0.886859298;0.00
0.045086499;0.878306802;0.00
0.050172999;0.868043648;0.00
0.055042246;0.859488777;0.00
0.060137541;0.852071442;0.00
0.06478426;0.843517363;0.00
0.069213728;0.836671567;0.00
0.074526274;0.827545949;0.00
0.07961981;0.81955945;0.00
0.084715105;0.812142115;0.00
0.08958963;0.805294735;0.00
0.094905695;0.797307445;0.00
0.099783738;0.791598393;0.00
0.104437493;0.785320968;0.00
0.109760595;0.779610333;0.00
0.113971051;0.773903655;0.00
0.117960739;0.768766933;0.00
0.120839541;0.764203332;0.00
0.124836264;0.761343265;0.00
0.129486501;0.753927513;0.00
0.135256419;0.748784458;0.00
0.139468635;0.743646944;0.00
0.144567449;0.737367937;0.00
0.14966978;0.732227256;0.00
0.154770352;0.726517413;0.00
0.159208615;0.722517435;0.00
0.164750727;0.71566768;0.00
0.170077346;0.711095372;0.00
0.17451385;0.70652623;0.00
0.179616182;0.70138555;0.00
0.184718513;0.69624487;0.00
0.190046892;0.692241725;0.00
0.195149223;0.687101045;0.00
0.199142428;0.68310265;0.00
